"cell","Agbl1","Bank1","Ccl5","Ccr9","Cd79a","Chil3","Cldn5","Col1a2","Col3a1","Ddx60","Dhx58","Gzma","Ifi30","Ifi35","Ifih1","Ifit1","Ifit2","Ifit3","Isg15","Kcnip4","Pkib","Prickle2","Retnlg","Rsad2","S100a8","S100a9","Samhd1","Sftpa1","Sftpb","St8sia6","Stat1","Usp18","Znfx1","unknow"
"(2234.27, 962.65)",1,2,0,0,2,0,0,2,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"(2234.36, 1088.09)",1,4,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,1
"(2234.46, 2831.47)",0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,7,4
"(2234.72, 652.15)",0,2,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,5,1
"(2234.88, 2003.53)",0,4,1,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,0,1,2,0,0,4,7,3
"(2235.02, 2256.23)",5,2,1,2,1,0,0,4,15,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,8,4,5
"(2235.08, 1239.11)",1,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,12,0,0,7,1,5
"(2235.40, 2443.12)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,6,0,0,4,0,1
"(2235.41, 1054.21)",1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,8,1,1
"(2235.52, 1648.23)",5,1,0,1,1,0,4,0,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,1,1
"(2235.53, 664.55)",3,4,2,0,1,0,0,0,7,3,0,1,0,0,0,0,0,1,2,3,0,1,1,4,0,0,0,2,0,0,2,4,9,8
"(2235.62, 1476.56)",3,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"(2235.62, 2035.15)",0,4,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,4,2
"(2235.67, 1017.43)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
