cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1
"(675.19, 1179.25)",1,1,0,0,0,0,0,2,0,0,1,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,2,5,0,1,1,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,2,4
"(675.25, 1645.60)",0,1,1,0,0,0,3,1,0,0,3,2,0,0,0,0,10,1,0,0,0,1,0,2,0,0,0,2,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,1,1,1,2,1,0,14,5,0
"(675.52, 1632.94)",0,0,1,0,0,0,0,10,0,0,2,0,0,0,0,0,6,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0
"(675.54, 350.23)",0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,2,1
"(675.79, 2498.94)",0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,4,4,0,0,0,3,3,0,0
"(675.80, 927.51)",3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1
"(675.84, 2709.26)",1,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2
"(675.88, 1025.67)",3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"(675.97, 697.57)",4,0,5,0,2,0,2,0,0,0,1,0,0,0,0,0,11,1,0,0,0,3,1,0,0,0,1,4,4,3,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,4,2,8,1,16,0,3,3,4,7
"(676.29, 2524.86)",1,6,4,1,0,0,3,17,0,0,6,23,3,3,0,3,6,1,0,0,1,1,1,1,0,1,0,1,3,7,0,0,0,0,10,0,0,0,0,4,1,0,0,0,0,0,18,8,0,1,2,4,7,0,0,0,1,24,0,10
"(676.73, 1279.66)",1,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,2,0,0,0,1,2,1,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,3,2,0,1,0,1,7,0,11
"(676.78, 1226.60)",4,3,22,2,0,0,0,4,2,0,1,17,0,0,0,0,8,1,0,0,1,4,0,0,0,0,0,4,3,4,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,1,3,0,0,0,0,0,5,10,0,2,2,0,3
"(676.99, 722.70)",1,0,1,0,0,0,0,2,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,5,1,1
"(677.10, 573.33)",3,2,0,0,0,0,1,1,0,3,0,3,0,0,0,0,2,0,0,0,4,0,1,1,0,0,0,1,2,1,0,1,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,9,0,0,0,1,0,1,2
"(677.43, 1100.82)",5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,4
"(677.44, 2681.73)",1,1,30,0,0,1,0,1,2,0,0,6,0,1,0,0,4,0,0,1,1,0,1,1,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,5,27,3,21,0,0,2,0,6
"(677.73, 2669.03)",0,0,7,1,0,1,6,0,0,0,0,13,0,2,0,0,3,1,0,0,0,0,0,3,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,8,0,0,0,2,8,0,0,0,5,6,1,3
"(678.15, 2649.00)",5,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,12,5,1,0,0,1,5,0,1
"(678.32, 2505.93)",0,1,1,0,0,0,2,2,0,0,1,3,3,1,0,2,3,0,0,0,0,0,0,6,0,0,6,1,0,5,0,0,0,0,6,0,0,0,0,2,2,0,0,0,0,1,17,9,0,0,1,2,3,0,0,1,0,15,5,1
"(678.35, 865.71)",3,5,0,0,1,0,1,1,0,3,1,3,0,0,0,0,3,0,0,0,4,1,1,0,0,0,2,4,3,2,0,0,1,0,5,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,6,4,0,1,0,0,2,0,1
"(678.60, 1004.06)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
"(678.76, 1426.19)",0,5,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,1,3
"(678.87, 1305.10)",0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,1,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,1,2,0
"(678.90, 916.96)",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
"(678.98, 953.50)",0,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,0,1,7,0,1,3,0,1
"(678.99, 1195.76)",6,0,6,1,2,0,0,1,0,0,1,4,0,0,0,0,14,0,2,0,2,0,0,0,0,0,0,1,14,0,0,1,0,0,7,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,6,2,6
"(678.99, 40.02)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(679.21, 2700.42)",6,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,3,0,3
"(679.47, 676.70)",0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,3,7,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,1,3,0,4
"(679.52, 1962.15)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"(679.53, 1988.00)",0,1,0,2,0,0,4,0,0,0,0,17,0,0,0,0,12,0,0,0,0,1,2,1,0,0,0,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,1,6,0,6
"(679.64, 210.57)",0,1,9,0,0,0,0,0,0,0,7,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,5,1,0,0,0,11,11,5,1,0,0,0,0,2
