,cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1,cluster
2407,"(2107.64, 1965.31)",3,0,0,0,0,0,0,0,0,1,2,8,0,5,2,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,8,0,2,0,3,0,0,1,Fibroblasts
2408,"(2107.88, 2452.55)",5,0,0,0,1,0,0,0,0,1,0,0,0,11,2,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,5,5,14,0,1,0,0,1,Epithelial_cells
2409,"(2108.67, 327.17)",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,B_cells
2410,"(2109.62, 2676.14)",0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,7,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,7,7,0,0,0,0,0,2,1,Endothelial_cells
2411,"(211.28, 533.00)",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,Undefined
2412,"(211.97, 1314.91)",0,0,1,1,0,0,0,1,0,0,0,0,0,2,2,0,9,0,0,1,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,5,3,0,3,0,0,5,NK_cells
2413,"(2110.39, 2611.83)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,Undefined
2414,"(2110.80, 2808.12)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3,28,0,0,0,0,0,0,Epithelial_cells
2415,"(2112.13, 2571.16)",3,0,0,0,0,0,0,0,0,4,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,2,1,0,7,Endothelial_cells
2416,"(2112.74, 692.25)",0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,1,Endothelial_cells
2417,"(2112.98, 423.38)",0,2,0,0,0,0,1,0,0,0,3,4,0,1,2,0,6,0,1,0,1,0,1,2,0,0,0,0,1,9,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,7,0,0,0,0,1,0,0,2,Fibroblasts
2418,"(2113.37, 2545.25)",2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,6,0,0,0,0,1,1,3,Endothelial_cells
2419,"(2113.57, 781.40)",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,Undefined
2420,"(2114.81, 1132.44)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Undefined
2421,"(2115.64, 298.58)",0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,6,Fibroblasts
2422,"(2115.68, 1605.79)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,0,0,0,0,4,1,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,0,0,0,3,0,0,2,17,5,0,1,0,0,1,0,5,Undefined
